Key	NumberOfNodesConverged	TimeElapsed
0	1	7
1	2	37
2	3	94
3	4	94
4	5	124
5	6	124
6	7	153
7	8	193
8	9	233
9	10	304
10	11	304
11	12	334
12	13	364
13	14	364
14	15	394
15	16	433
16	17	433
17	18	464
18	19	493
19	20	493
20	21	534
21	22	663
22	23	663
23	24	724
24	25	763
25	26	793
26	27	823
27	28	823
28	29	853
29	30	853
30	31	884
31	32	914
32	33	914
33	34	944
34	35	944
35	36	983
36	37	1023
37	38	1023
38	39	1063
39	40	1063
40	41	1123
41	42	1154
42	43	1293
43	44	1314
44	45	1324
45	46	1353
46	47	1414
47	48	1514
48	49	1514
49	50	1603
50	51	1633
51	52	1674
52	53	1704
53	54	1704
54	55	1733
55	56	1733
56	57	1763
57	58	1794
58	59	1794
59	60	1824
60	61	1853
61	62	1884
62	63	1914
63	64	1944
64	65	1983
65	66	2023
66	67	2023
67	68	2054
68	69	2084
69	70	2214
70	71	2244
71	72	2334
72	73	2334
73	74	2393
74	75	2393
75	76	2423
76	77	2514
77	78	2544
78	79	2583
79	80	2643
80	81	2643
81	82	2674
82	83	2744
83	84	2744
84	85	2783
85	86	2814
86	87	2844
87	88	2923
88	89	2964
89	90	3023
90	91	3063
91	92	3094
92	93	3123
93	94	3183
94	95	3253
95	96	3253
96	97	3313
97	98	3353
98	99	3353
99	100	3384
100	101	3414
101	102	3483
102	103	3514
103	104	3593
104	105	3624
105	106	3624
106	107	3654
107	108	3693
108	109	3693
109	110	3753
110	111	3784
111	112	3784
112	113	3814
113	114	3844
114	115	3874
115	116	3944
116	117	3974
117	118	4004
118	119	4074
119	120	4074
120	121	4104
121	122	4144
122	123	4174
123	124	4174
124	125	4204
125	126	4204
126	127	4264
127	128	4294
128	129	4325
129	130	4384
130	131	4475
131	132	4475
132	133	4595
133	134	4625
134	135	4655
135	136	4694
136	137	4724
137	138	4844
138	139	4875
139	140	4875
140	141	4904
141	142	4905
142	143	4935
143	144	4964
144	145	4995
145	146	4995
146	147	5025
147	148	5055
148	149	5084
149	150	5084
150	151	5145
151	152	5175
152	153	5264
153	154	5264
154	155	5295
155	156	5325
156	157	5353
157	158	5415
158	159	5445
159	160	5504
160	161	5535
161	162	5565
162	163	5594
163	164	5624
164	165	5655
165	166	5683
166	167	5715
167	168	5745
168	169	5774
169	170	5774
170	171	5804
171	172	5834
172	173	5894
173	174	5895
174	175	5925
175	176	5955
176	177	5955
177	178	5984
178	179	5984
179	180	6015
180	181	6045
181	182	6075
182	183	6075
183	184	6134
184	185	6165
185	186	6195
186	187	6224
187	188	6254
188	189	6285
189	190	6314
190	191	6345
191	192	6375
192	193	6375
193	194	6404
194	195	6404
195	196	6435
196	197	6435
197	198	6465
198	199	6494
199	200	6525
200	201	6555
201	202	6555
202	203	6584
203	204	6584
204	205	6645
205	206	6675
206	207	6704
207	208	6735
208	209	6735
209	210	6764
210	211	6764
211	212	6795
212	213	6855
213	214	6855
214	215	6974
215	216	7005
216	217	7034
217	218	7065
218	219	7095
219	220	7095
220	221	7155
221	222	7185
222	223	7244
223	224	7245
224	225	7274
225	226	7335
226	227	7335
227	228	7365
228	229	7394
229	230	7425
230	231	7485
231	232	7514
232	233	7545
233	234	7575
234	235	7604
235	236	7635
236	237	7664
237	238	7665
238	239	7694
239	240	7725
240	241	7785
241	242	7815
242	243	7845
243	244	7905
244	245	7905
245	246	7935
246	247	7964
247	248	7994
248	249	7994
249	250	8025
250	251	8054
251	252	8054
252	253	8115
253	254	8115
254	255	8145
255	256	8174
256	257	8205
257	258	8264
258	259	8294
259	260	8295
260	261	8325
261	262	8325
262	263	8355
263	264	8358
264	265	8384
265	266	8445
266	267	8475
267	268	8564
268	269	8564
269	270	8595
270	271	8595
271	272	8625
272	273	8655
273	274	8685
274	275	8714
275	276	8774
276	277	8834
277	278	8865
278	279	8865
279	280	8895
280	281	8895
281	282	8924
282	283	8954
283	284	8984
284	285	9014
285	286	9044
286	287	9074
287	288	9104
288	289	9135
289	290	9165
290	291	9195
291	292	9224
292	293	9255
293	294	9315
294	295	9315
295	296	9344
296	297	9374
297	298	9465
298	299	9494
299	300	9524
300	301	9525
301	302	9584
302	303	9615
303	304	9615
304	305	9645
305	306	9705
306	307	9734
307	308	9765
308	309	9824
309	310	9855
310	311	9855
311	312	9885
312	313	9914
313	314	9914
314	315	9975
315	316	10005
316	317	10035
317	318	10065
318	319	10065
319	320	10095
320	321	10125
321	322	10155
322	323	10185
323	324	10185
324	325	10215
325	326	10307
326	327	10394
327	328	10425
328	329	10455
329	330	10544
330	331	10635
331	332	10635
332	333	10664
333	334	10695
334	335	10725
335	336	10754
336	337	10784
337	338	10815
338	339	10844
339	340	10875
340	341	10905
341	342	10935
342	343	10935
343	344	10965
344	345	10965
345	346	10994
346	347	11055
347	348	11055
348	349	11085
349	350	11175
350	351	11179
351	352	11205
352	353	11215
353	354	11244
354	355	11273
355	356	11304
356	357	11304
357	358	11335
358	359	11335
359	360	11365
360	361	11425
361	362	11425
362	363	11544
363	364	11545
364	365	11605
365	366	11635
366	367	11665
367	368	11693
368	369	11755
369	370	11784
370	371	11815
371	372	11845
372	373	11905
373	374	11934
374	375	11935
375	376	11994
376	377	11994
377	378	12025
378	379	12025
379	380	12084
380	381	12115
381	382	12144
382	383	12175
383	384	12205
384	385	12206
385	386	12235
386	387	12265
387	388	12295
388	389	12325
389	390	12325
390	391	12355
391	392	12384
392	393	12414
393	394	12415
394	395	12445
395	396	12475
396	397	12475
397	398	12505
398	399	12535
399	400	12566
400	401	12566
401	402	12595
402	403	12625
403	404	12655
404	405	12745
405	406	12775
406	407	12804
407	408	12804
408	409	12835
409	410	12835
410	411	12865
411	412	12895
412	413	12895
413	414	12925
414	415	12954
415	416	12985
416	417	13015
417	418	13044
418	419	13044
419	420	13075
420	421	13104
421	422	13104
422	423	13134
423	424	13165
424	425	13195
425	426	13195
426	427	13225
427	428	13254
428	429	13315
429	430	13345
430	431	13374
431	432	13435
432	433	13435
433	434	13465
434	435	13465
435	436	13525
436	437	13645
437	438	13674
438	439	13674
439	440	13705
440	441	13765
441	442	13765
442	443	13794
443	444	13855
444	445	13855
445	446	13915
446	447	13945
447	448	13945
448	449	14005
449	450	14005
450	451	14035
451	452	14065
452	453	14095
453	454	14125
454	455	14125
455	456	14155
456	457	14185
457	458	14215
458	459	14245
459	460	14245
460	461	14275
461	462	14304
462	463	14335
463	464	14335
464	465	14365
465	466	14365
466	467	14394
467	468	14394
468	469	14425
469	470	14454
470	471	14484
471	472	14484
472	473	14514
473	474	14604
474	475	14635
475	476	14665
476	477	14675
477	478	14694
478	479	14704
479	480	14724
480	481	14735
481	482	14765
482	483	14785
483	484	14795
484	485	14845
485	486	14855
486	487	14885
487	488	14914
488	489	14935
489	490	14945
490	491	14995
491	492	15004
492	493	15024
493	494	15085
494	495	15114
495	496	15125
496	497	15179
497	498	15185
498	499	15214
499	500	15244
500	501	15244
501	502	15305
502	503	15334
503	504	15395
504	505	15454
505	506	15485
506	507	15515
507	508	15515
508	509	15574
509	510	15604
510	511	15635
511	512	15635
512	513	15664
513	514	15664
514	515	15695
515	516	15731
516	517	15731
517	518	15764
518	519	15825
519	520	15825
520	521	15855
521	522	15885
522	523	15944
523	524	15945
524	525	15975
525	526	15975
526	527	16005
527	528	16005
528	529	16095
529	530	16095
530	531	16125
531	532	16154
532	533	16185
533	534	16185
534	535	16215
535	536	16248
536	537	16285
537	538	16334
538	539	16345
539	540	16365
540	541	16375
541	542	16404
542	543	16424
543	544	16454
544	545	16484
545	546	16555
546	547	16585
547	548	16635
548	549	16645
549	550	16675
550	551	16755
551	552	16814
552	553	16845
553	554	16875
554	555	16915
555	556	16975
556	557	17005
557	558	17084
558	559	17125
559	560	17145
560	561	17154
561	562	17175
562	563	17215
563	564	17235
564	565	17280
565	566	17324
566	567	17345
567	568	17355
568	569	17374
569	570	17385
570	571	17404
571	572	17415
572	573	17434
573	574	17495
574	575	17525
575	576	17555
576	577	17565
577	578	17615
578	579	17645
579	580	17655
580	581	17675
581	582	17684
582	583	17715
583	584	17744
584	585	17775
585	586	17805
586	587	17824
587	588	17865
588	589	17885
589	590	17975
590	591	18044
591	592	18064
592	593	18135
593	594	18154
594	595	18164
595	596	18184
596	597	18225
597	598	18255
598	599	18275
599	600	18305
600	601	18344
601	602	18374
602	603	18454
603	604	18464
604	605	18484
605	606	18495
606	607	18524
607	608	18545
608	609	18575
609	610	18585
610	611	18615
611	612	18675
612	613	18701
613	614	18705
614	615	18734
615	616	18765
616	617	18795
617	618	18824
618	619	18885
619	620	18915
620	621	18946
621	622	18946
622	623	19005
623	624	19005
624	625	19065
625	626	19065
626	627	19095
627	628	19124
628	629	19124
629	630	19155
630	631	19185
631	632	19215
